BDF names,Active Material type,Start Date YYYYMMDD,Public Labels,Cycling Programme name,Mass of Active Material / mg,Electrode Coating Mass / g,Weight percentage of Active Material / %,Theoretical Capacity /  mAh g-1,Electrode Diameter / mm,Dry Thickness / um,Nominal Areal Capacity / mAh cm-2,Electrode Loading / g cm-2,Known Issues
sintef__sintef-silicongraphite-R2032-intelligent1-02fb2b__20250602__gitthold__RT.bdf.parquet,Silicon Graphite,20250602,SiGr-AQ-1,GITT hold,7.0038132,0.007716,90.77,510,14,74,2.3194446311688313,0.004547931,
sintef__sintef-silicongraphite-R2032-intelligent2-f4569b__20250405__p-ocv__RT.bdf.parquet,Silicon Graphite,20250405,SiGr-AQ-2,p-OCV,2.9837807999999977,0.003432,86.94,1150,14,51,2.2281479999999982,0.00193752,
sintef__sintef-silicongraphite-R2032-intelligent2-eef2ba__20250405__p-ocvhold__RT.bdf.parquet,Silicon Graphite,20250405,SiGr-AQ-2,p-OCV hold,2.9229228000000034,0.003362,86.94,1150,14,51,2.1827020909090935,0.001898002,
sintef__sintef-silicongraphite-R2032-intelligent2-ab7297__20250405__gitthold__RT.bdf.parquet,Silicon Graphite,20250405,SiGr-AQ-2,GITT hold,3.001168800000003,0.003452,86.94,1150,14,51,2.2411325454545477,0.001948811,
sintef__sintef-silicongraphite-R2032-intelligent2-0cf06a__20250528__p-ocv__RT.bdf.parquet,Silicon Graphite,20250528,SiGr-AQ-2,p-OCV,2.9316168,0.003372,86.94,1150,14,51,2.1891943636363638,0.001903647,
sintef__sintef-silicongraphite-R2032-intelligent2-210cad__20250528__p-ocvhold__RT.bdf.parquet,Silicon Graphite,20250528,SiGr-AQ-2,p-OCV hold,3.2706828000000012,0.003762,86.94,1150,14,51,2.442393000000001,0.00212382,
sintef__sintef-silicongraphite-R2032-intelligent2-61a57a__20250602__gitt__RT.bdf.parquet,Silicon Graphite,20250602,SiGr-AQ-2,GITT,2.8620648000000024,0.003292,86.94,1150,14,51,2.1372561818181834,0.001858484,
sintef__sintef-silicongraphite-R2032-intelligent2-da05ba__20250602__gitthold__RT.bdf.parquet,Silicon Graphite,20250602,SiGr-AQ-2,GITT hold,2.7925127999999995,0.003212,86.94,1150,14,51,2.0853179999999996,0.00181332,
sintef__sintef-silicongraphite-R2032-intelligent2-fd2719__20250514__p-ocv__RT.bdf.parquet,B/Silicon Graphite,20250514,SiGr-AQ-3,p-OCV,3.852835399274167,0.00443,86.97145370822048,900,14,54,2.2516570515238636,0.002501841,
sintef__sintef-silicongraphite-R2032-intelligent2-655454__20250514__p-ocvhold__RT.bdf.parquet,B/Silicon Graphite,20250514,SiGr-AQ-3,p-OCV hold,3.965898289094852,0.00456,86.97145370822048,900,14,54,2.3177327663541343,0.002575259,
sintef__sintef-silicongraphite-R2032-intelligent2-e030cf__20250528__gitt__RT.bdf.parquet,B/Silicon Graphite,20250528,SiGr-AQ-3,GITT,4.748641372468838,0.00546,86.97145370822048,900,14,54,2.775180022871399,0.003083533,
sintef__sintef-silicongraphite-R2032-intelligent2-0d30d4__20250528__gitthold__RT.bdf.parquet,B/Silicon Graphite,20250528,SiGr-AQ-3,GITT hold,3.8876239807574544,0.00447,86.97145370822048,900,14,54,2.271988040702408,0.002524431,
sintef__sintef-silicongraphite-R2032-intelligent2-a39539__20250528__p-ocv__RT.bdf.parquet,B/Silicon Graphite,20250528,SiGr-AQ-3,p-OCV,4.566001319681573,0.00525,86.97145370822048,900,14,54,2.6684423296840363,0.002964936,
sintef__sintef-silicongraphite-R2032-intelligent2-084a1b__20250528__p-ocvhold__RT.bdf.parquet,B/Silicon Graphite,20250528,SiGr-AQ-3,p-OCV hold,4.670367064131439,0.00537,86.97145370822048,900,14,54,2.7294352972196725,0.003032706,
sintef__sintef-silicongraphite-R2032-intelligent2-7202c5__20250528__gitt__RT.bdf.parquet,B/Silicon Graphite,20250528,SiGr-AQ-3,GITT,3.983292579836495,0.00458,86.97145370822048,900,14,54,2.3278982609434062,0.002586554,
sintef__sintef-silicongraphite-R2032-intelligent2-e8f570__20250528__gitthold__RT.bdf.parquet,B/Silicon Graphite,20250528,SiGr-AQ-3,GITT hold,4.652972773389793,0.00535,86.97145370822048,900,14,54,2.7192698026303983,0.003021411,
sintef__sintef-lnmo-R2032-intelligent1-59ceaa__20250424__p-ocv__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-1,p-OCV,13.778407852605156,0.014976999999999999,91.99711459,140,14,64,1.2525825320550141,0.008947018,
sintef__sintef-lnmo-R2032-intelligent1-f9bf3e__20250625__p-ocv__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-1,p-OCV,13.20802574212808,0.014357,91.99711459,140,14,64,1.2007296129207345,0.00857664,
sintef__sintef-lnmo-R2032-intelligent1-32a68c__20250424__p-ocvhold__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-1,p-OCV hold,12.99643238,0.014126999999999999,91.99711459,140,14,64,1.1814938525967271,0.008439242,
sintef__sintef-lnmo-R2032-intelligent1-d11721__20250625__p-ocvhold__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-1,p-OCV hold,13.76920814114585,0.014967,91.99711459,140,14,64,1.2517461946496227,0.008941044,
sintef__sintef-lnmo-R2032-intelligent1-b3d963__20250424__gitt__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-1,GITT,13.68641073801208,0.014877,91.99711459,140,14,64,1.244219158001098,0.00888728,Cell failed at end of 3rd cycle
sintef__sintef-lnmo-R2032-intelligent1-ee5c27__20250625__gitt__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-1,GITT,13.824406409901696,0.015027,91.99711459,140,14,64,1.2567642190819723,0.008976887,Cell failed at the end of 1st cycle
sintef__sintef-lnmo-R2032-intelligent1-df0911__20250424__gitthold__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-1,GITT hold,13.548415066122466,0.014727000000000002,91.99711459,140,14,64,1.2316740969202242,0.008797672,
sintef__sintef-lnmo-R2032-intelligent1-f46602__20250625__gitthold__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-1,GITT hold,12.849236995215081,0.013967000000000002,91.99711459,140,14,64,1.168112454110462,0.00834366,Cell failed during the 2nd cycle
sintef__sintef-lnmo-R2032-intelligent2-f2733d__20250424__p-ocv__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-2,p-OCV,13.783747617790832,0.014982000000000002,92.00205325,140,14,90,1.253067965253712,0.008950485,
sintef__sintef-lnmo-R2032-intelligent2-b4f90b__20250625__p-ocv__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-2,p-OCV,14.51976404,0.015782,92.00205325,140,14,90,1.3199785494349272,0.009428418,
sintef__sintef-lnmo-R2032-intelligent2-7c22c4__20250424__p-ocvhold__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-2,p-OCV hold,15.384583344326408,0.016722,92.00205325,140,14,90,1.398598485847855,0.009989989,
sintef__sintef-lnmo-R2032-intelligent2-6dce02__20250625__p-ocvhold__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-2,p-OCV hold,15.044175747304475,0.016352000000000002,92.00205325,140,14,90,1.367652340664043,0.009768945,
sintef__sintef-lnmo-R2032-intelligent2-fa5db1__20250424__gitt__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-2,GITT,14.602565891708451,0.015872,92.00205325,140,14,90,1.3275059901553137,0.009482186,Anomalously high voltage measurements during the pulse step
sintef__sintef-lnmo-R2032-intelligent2-2f9459__20250625__gitt__RT.bdf.parquet,LNMO,20250625,LNMO-NMP-2,GITT,14.317359526636022,0.015562,92.00205325,140,14,90,1.3015781387850927,0.009296987,
sintef__sintef-lnmo-R2032-intelligent2-dd8a76__20250424__gitthold__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-2,GITT hold,15.016575131329724,0.016322,92.00205325,140,14,90,1.3651431937572476,0.009751023,Anomalously high voltage measurements during the pulse step
sintef__sintef-lnmo-R2032-intelligent2-e5b4f3__20250424__gitthold__RT.bdf.parquet,LNMO,20250424,LNMO-NMP-2,GITT hold,14.58416548105862,0.015852,92.00205325,140,14,90,1.3258332255507836,0.009470237,Anomalously high voltage measurements during the pulse step
sintef__sintef-lnmo-R2032-intelligent1-21a280__20250424__p-ocv__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-1,p-OCV,5.149915120000002,0.0056,91.96277,140,14,40,0.4681741018181819,0.003344101,
sintef__sintef-lnmo-R2032-intelligent1-876812__20250625__p-ocv__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-1,p-OCV,5.922402387999999,0.00644,91.96277,140,14,40,0.538400217,0.003845716,
sintef__sintef-lnmo-R2032-intelligent1-6cf259__20250424__p-ocvhold__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-1,p-OCV hold,5.462588538000001,0.00594,91.96277,140,14,40,0.4965989580000001,0.003547135,
sintef__sintef-lnmo-R2032-intelligent1-711dc8__20250625__p-ocvhold__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-1,p-OCV hold,5.159111397,0.00561,91.96277,140,14,40,0.46901012699999994,0.003350072,
sintef__sintef-lnmo-R2032-intelligent1-2b6be3__20250424__gitt__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-1,GITT,6.262664637,0.00681,91.96277,140,14,40,0.5693331488181819,0.004066665,
sintef__sintef-lnmo-R2032-intelligent1-a39225__20250625__gitt__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-1,GITT,5.995972604,0.00652,91.96277,140,14,40,0.5450884185454546,0.003893489,
sintef__sintef-lnmo-R2032-intelligent1-c89aa7__20250424__gitthold__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-1,GITT hold,5.057952350000001,0.0055,91.96277,140,14,40,0.45981385,0.003284385,
sintef__sintef-lnmo-R2032-intelligent1-9973ad__20250625__gitthold__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-1,GITT hold,5.922402387999999,0.00644,91.96277,140,14,40,0.538400217,0.003845716,
sintef__sintef-lnmo-R2032-intelligent2-c04965__20250424__p-ocv__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-2,p-OCV,6.057490344400001,0.00671,90.275564,140,14,47,0.55068094,0.003933435,
sintef__sintef-lnmo-R2032-intelligent2-31c548__20250625__p-ocv__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-2,p-OCV,5.615140081,0.00622,90.275564,140,14,47,0.5104672800727272,0.003646195,
sintef__sintef-lnmo-R2032-intelligent2-f6ce67__20250424__p-ocvhold__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-2,p-OCV hold,6.888025533200001,0.00763,90.275564,140,14,47,0.6261841393818183,0.004472744,
sintef__sintef-lnmo-R2032-intelligent2-2bac5c__20250625__p-ocvhold__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-2,p-OCV hold,5.876939216399999,0.00651,90.275564,140,14,47,0.534267201,0.003816194,
sintef__sintef-lnmo-R2032-intelligent2-fb8cf6__20250424__gitt__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-2,GITT,6.6171988412000005,0.00733,90.275564,140,14,47,0.6015635310181818,0.004296882,
sintef__sintef-lnmo-R2032-intelligent2-4fc673__20250625__gitt__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-2,GITT,6.734557074400001,0.00746,90.275564,140,14,47,0.6122324613090909,0.004373089,
sintef__sintef-lnmo-R2032-intelligent2-0820fa__20250424__gitthold__RT.bdf.parquet,LNMO,20250424,LNMO-AQ-2,GITT hold,6.698446849,0.00742,90.275564,140,14,47,0.6089497135272726,0.004349641,
sintef__sintef-lnmo-R2032-intelligent2-38f87f__20250625__gitthold__RT.bdf.parquet,LNMO,20250625,LNMO-AQ-2,GITT hold,5.813746321600002,0.00644,90.275564,140,14,47,0.5285223928727274,0.00377516,
sintef__sintef-lfp-R2032-gelon-d07eb6__20250602__p-ocv__RT.bdf.parquet,LFP,20250602,LFP-NMP-1,p-OCV,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-fbeeaf__20250607__p-ocvhold__RT.bdf.parquet,LFP,20250607,LFP-NMP-1,p-OCV hold,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-b89ab5__20250607__gitt__RT.bdf.parquet,LFP,20250607,LFP-NMP-1,GITT,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-182031__20250607__gitthold__RT.bdf.parquet,LFP,20250607,LFP-NMP-1,GITT hold,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-178617__20250706__p-ocv__RT.bdf.parquet,LFP,20250706,LFP-NMP-1,p-OCV,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-244221__20250706__p-ocvhold__RT.bdf.parquet,LFP,20250706,LFP-NMP-1,p-OCV hold,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-b26620__20250706__gitt__RT.bdf.parquet,LFP,20250706,LFP-NMP-1,GITT,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-lfp-R2032-gelon-86f18a__20250706__gitthold__RT.bdf.parquet,LFP,20250706,LFP-NMP-1,GITT hold,20.66812,0.02175599,95,,14,78,2,0.0134267,
sintef__sintef-nmc532-R2032-gelon-2a2be3__20250607__p-ocv__RT.bdf.parquet,NMC532,20250607,NMC532-NMP-1,p-OCV,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc532-R2032-gelon-f5dd84__20250607__p-ocvhold__RT.bdf.parquet,NMC532,20250607,NMC532-NMP-1,p-OCV hold,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc532-R2032-gelon-44efc9__20250625__gitt__RT.bdf.parquet,NMC532,20250625,NMC532-NMP-1,GITT,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc532-R2032-gelon-328a71__20250625__gitthold__RT.bdf.parquet,NMC532,20250625,NMC532-NMP-1,GITT hold,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc532-R2032-gelon-ee86d1__20250625__p-ocv__RT.bdf.parquet,NMC532,20250625,NMC532-NMP-1,p-OCV,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc532-R2032-gelon-2373d9__20250625__p-ocvhold__RT.bdf.parquet,NMC532,20250625,NMC532-NMP-1,p-OCV hold,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc532-R2032-gelon-1765db__20250706__gitt__RT.bdf.parquet,NMC532,20250706,NMC532-NMP-1,GITT,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,Anomalously high voltage measurements during the pulse step
sintef__sintef-nmc532-R2032-gelon-979353__20250706__gitthold__RT.bdf.parquet,NMC532,20250706,NMC532-NMP-1,GITT hold,31.402434,0.032500967,96.62,,14,96,3.1,0.0204,
sintef__sintef-nmc111-R2032-customcells-9d3ce5__20250625__p-ocv__RT.bdf.parquet,NMC111,20250625,NMC111-NMP-1,p-OCV,20.43,0.0227,90,,14,69,2,0.0132719,
sintef__sintef-nmc111-R2032-customcells-6115bb__20250720__p-ocv__RT.bdf.parquet,NMC111,20250720,NMC111-NMP-1,p-OCV,20.43,0.0227,90,,14,69,2,0.0132719,
sintef__sintef-nmc111-R2032-customcells-1e88d8__20250625__p-ocvhold__RT.bdf.parquet,NMC111,20250625,NMC111-NMP-1,p-OCV hold,20.43,0.0227,90,,14,69,2,0.0132719,
sintef__sintef-nmc111-R2032-customcells-e0dd5f__20250720__p-ocvhold__RT.bdf.parquet,NMC111,20250720,NMC111-NMP-1,p-OCV hold,20.43,0.0227,90,,14,69,2,0.0132719,
sintef__sintef-nmc111-R2032-customcells-85cad7__20250720__gitt__RT.bdf.parquet,NMC111,20250720,NMC111-NMP-1,GITT,20.43,0.0227,90,,14,69,2,0.0132719,Anomalously high voltage measurements during the pulse step. Cycling stopped unexpectedly during cycle 2
sintef__sintef-nmc111-R2032-customcells-53acb0__20250625__gitthold__RT.bdf.parquet,NMC111,20250625,NMC111-NMP-1,GITT hold,20.43,0.0227,90,,14,69,2,0.0132719,
sintef__sintef-nmc111-R2032-customcells-000b13__20250720__gitthold__RT.bdf.parquet,NMC111,20250720,NMC111-NMP-1,GITT hold,20.43,0.0227,90,,14,69,2,0.0132719,Cycling stopped unexpectedly during cycle 4
sintef__sintef-nmc111-R2032-customcells-e5a00e__20251015__gitt__RT.bdf.parquet,NMC111,20251015,NMC111-NMP-1,GITT,20.43,0.0227,90,,14,69,2,0.0132719,Cycling stopped unexpectedly during cycle 4
sintef__sintef-nmc111-R2032-customcells-6852ff__20250720__gitthold__RT.bdf.parquet,NMC111,20250720,NMC111-NMP-1,GITT hold,20.43,0.0227,90,,14,69,2,0.0132719,
